Perfume Name,Perfume Brand,Year,Perfumers,Main Accords,Top Notes,Middle Notes,Base Notes,Seasonal Preferences
Angels' Share,By Kilian,2020,Benoist Lapouza,"{'woody': '100', 'warm spicy': '97.3642', 'sweet': '88.0743', 'vanilla': '80.1151', 'cinnamon': '76.1306', 'amber': '51.0162', 'powdery': '47.7499'}","['Cognac', 'Cinnamon', 'Tonka Bean', 'Tonka Bean', 'Oak', 'Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","['Cinnamon', 'Tonka Bean', 'Tonka Bean', 'Oak', 'Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","['Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","{'winter': '100%', 'spring': '21.2335%', 'summer': '11.4992%', 'fall': '90.8601%', 'day': '36.9682%', 'night': '82.1103%'}"
Khamrah,Lattafa Perfumes,2022,,"{'sweet': '100', 'warm spicy': '78.739', 'amber': '77.07', 'vanilla': '76.696', 'cinnamon': '63.4089', 'fresh spicy': '47.7387', 'woody': '47.7217', 'fruity': '44.6075'}","['Cinnamon', 'Nutmeg', 'Nutmeg', 'Bergamot', 'Dates', 'Praline', 'Praline', 'Tuberose', 'Mahonial', 'Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']","['Dates', 'Praline', 'Praline', 'Tuberose', 'Mahonial', 'Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']","['Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']","{'winter': '100%', 'spring': '25.552%', 'summer': '11.6145%', 'fall': '87.5805%', 'day': '41.5133%', 'night': '83.7167%'}"
Le Male Le Parfum,Jean Paul Gaultier,2020,"Natalie Gracia-Cetto, Quentin Bisch","{'warm spicy': '100', 'vanilla': '78.8764', 'aromatic': '62.9447', 'powdery': '62.6263', 'lavender': '62.4338', 'iris': '59.9389', 'amber': '57.0519', 'woody': '56.2322', 'violet': '44.9695'}","['Cardamom', 'Lavender', 'Iris', 'Iris', 'Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']","['Lavender', 'Iris', 'Iris', 'Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']","['Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']","{'winter': '100%', 'spring': '48.7502%', 'summer': '17.0966%', 'fall': '89.1859%', 'day': '43.2161%', 'night': '90.9504%'}"
Baccarat Rouge 540,Maison Francis Kurkdjian,2015,Francis Kurkdjian,"{'woody': '100', 'amber': '92.1186', 'warm spicy': '69.1091', 'fresh spicy': '46.9257', 'aromatic': '46.4911', 'metallic': '46.2061', 'white floral': '45.1555', 'animalic': '44.9115'}","['Saffron', 'Jasmine', 'Jasmine', 'Amberwood', 'Ambergris', 'Ambergris', 'Fir Resin', 'Cedar', 'Cedar']","['Amberwood', 'Ambergris', 'Ambergris', 'Fir Resin', 'Cedar', 'Cedar']","['Fir Resin', 'Cedar', 'Cedar']","{'winter': '97.3588%', 'spring': '65.0119%', 'summer': '42.6094%', 'fall': '100%', 'day': '76.8496%', 'night': '93.9061%'}"
Angels' Share,By Kilian,2020,Benoist Lapouza,"{'woody': '100', 'warm spicy': '97.3642', 'sweet': '88.0743', 'vanilla': '80.1151', 'cinnamon': '76.1306', 'amber': '51.0162', 'powdery': '47.7499'}","['Cognac', 'Cinnamon', 'Tonka Bean', 'Tonka Bean', 'Oak', 'Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","['Cinnamon', 'Tonka Bean', 'Tonka Bean', 'Oak', 'Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","['Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","{'winter': '100%', 'spring': '21.2335%', 'summer': '11.4992%', 'fall': '90.8601%', 'day': '36.9682%', 'night': '82.1103%'}"
