Perfume Name,Perfume Brand,Link
Acqua di Gio,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html
Asad,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html
Coco Mademoiselle,Chanel,https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-611.html
Ani,Nishane,https://www.fragrantica.com/perfume/Nishane/Ani-54785.html
Noir Extreme,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html
Hacivat,Nishane,https://www.fragrantica.com/perfume/Nishane/Hacivat-44174.html
Instant Crush,Mancera,https://www.fragrantica.com/perfume/Mancera/Instant-Crush-54885.html
Valentino Donna Born In Roma,Valentino,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-55805.html
Erba Pura,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Erba-Pura-55157.html
Lira,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Lira-11801.html
Libre Intense,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-Intense-62318.html
The Most Wanted,Azzaro,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-66826.html
Eilish,Billie Eilish,https://www.fragrantica.com/perfume/Billie-Eilish/Eilish-70052.html
Herod,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html
Bois Impérial,Essential Parfums,https://www.fragrantica.com/perfume/Essential-Parfums/Bois-Imperial-64338.html
Light Blue Eau Intense Pour Homme,Dolce&Gabbana,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Eau-Intense-Pour-Homme-44035.html
Ganymede,Marc-Antoine Barrois,https://www.fragrantica.com/perfume/Marc-Antoine-Barrois/Ganymede-54720.html
The Most Wanted Parfum,Azzaro,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-Parfum-73664.html
Love Don't Be Shy,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Love-Don-t-Be-Shy-4322.html
Side Effect,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html
Wood Sage & Sea Salt,Jo Malone London,https://www.fragrantica.com/perfume/Jo-Malone-London/Wood-Sage-Sea-Salt-25529.html
Dior Homme Parfum,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html
Baccarat Rouge 540 Extrait de Parfum,Maison Francis Kurkdjian,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Extrait-de-Parfum-46066.html
Le Male,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-430.html
Bianco Latte,Giardini Di Toscana,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Bianco-Latte-64757.html
Goddess,Burberry,https://www.fragrantica.com/perfume/Burberry/Goddess-83483.html
Crystal Noir,Versace,https://www.fragrantica.com/perfume/Versace/Crystal-Noir-631.html
Toy Boy,Moschino,https://www.fragrantica.com/perfume/Moschino/Toy-Boy-55858.html
Yara,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Yara-76880.html
Emporio Armani Stronger With You Absolutely,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Absolutely-64501.html
L'Interdit Eau de Parfum Rouge,Givenchy,https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Eau-de-Parfum-Rouge-68404.html
Gris Charnel,BDK Parfums,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-57038.html
Allure Homme Sport Eau Extreme,Chanel,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Eau-Extreme-14669.html
Black Phantom,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Black-Phantom-43632.html
Prada Paradoxe,Prada,https://www.fragrantica.com/perfume/Prada/Prada-Paradoxe-75668.html
Sauvage Eau de Parfum,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-Eau-de-Parfum-48100.html
Santal 33,Le Labo,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html
Tonka Cola,Mancera,https://www.fragrantica.com/perfume/Mancera/Tonka-Cola-76893.html
Angel,Mugler,https://www.fragrantica.com/perfume/Mugler/Angel-704.html
Brazilian Crush Cheirosa '62,Sol de Janeiro,https://www.fragrantica.com/perfume/Sol-de-Janeiro/Brazilian-Crush-Cheirosa-62-56062.html
CK One,Calvin Klein,https://www.fragrantica.com/perfume/Calvin-Klein/CK-One-276.html
Flowerbomb,Viktor&Rolf,https://www.fragrantica.com/perfume/Viktor-Rolf/Flowerbomb-1460.html
Arabians Tonka,Montale,https://www.fragrantica.com/perfume/Montale/Arabians-Tonka-57384.html
Devotion,Dolce&Gabbana,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html
Burberry Her Elixir de Parfum,Burberry,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-Elixir-de-Parfum-75968.html
Bleu de Chanel,Chanel,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-9099.html
Yum Pistachio Gelato | 33,Kayali Fragrances,https://www.fragrantica.com/perfume/Kayali-Fragrances/Yum-Pistachio-Gelato-33-79846.html
My Way,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/My-Way-62036.html
1 Million,Paco Rabanne,https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-3747.html
Mon Guerlain,Guerlain,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-43297.html
Oud for Greatness,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-53641.html
Alien Goddess,Mugler,https://www.fragrantica.com/perfume/Mugler/Alien-Goddess-68354.html
La Belle,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/La-Belle-55786.html
Oud Satin Mood,Maison Francis Kurkdjian,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html
Cool Water,Davidoff,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-507.html
Not A Perfume,Juliette Has A Gun,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Not-A-Perfume-10296.html
Chloe Eau de Parfum,Chloé,https://www.fragrantica.com/perfume/Chloe/Chloe-Eau-de-Parfum-1733.html
Guidance,Amouage,https://www.fragrantica.com/perfume/Amouage/Guidance-78656.html
J'adore,Dior,https://www.fragrantica.com/perfume/Dior/J-adore-210.html
L'Interdit Eau de Parfum,Givenchy,https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Eau-de-Parfum-51488.html
Bade'e Al Oud Oud for Glory,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Oud-for-Glory-64948.html
L'Eau d'Issey Pour Homme,Issey Miyake,https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html
Le Beau,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-55785.html
Chance Eau Tendre,Chanel,https://www.fragrantica.com/perfume/Chanel/Chance-Eau-Tendre-8069.html
Bleu de Chanel Parfum,Chanel,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Parfum-49912.html
L’Homme Ideal Eau de Parfum,Guerlain,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Eau-de-Parfum-37735.html
Libre Le Parfum,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-Le-Parfum-75676.html
Versace Man Eau Fraiche,Versace,https://www.fragrantica.com/perfume/Versace/Versace-Man-Eau-Fraiche-644.html
Portrait of a Lady,Frederic Malle,https://www.fragrantica.com/perfume/Frederic-Malle/Portrait-of-a-Lady-10464.html
Gentle Fluidity Gold,Maison Francis Kurkdjian,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53401.html
You,Glossier,https://www.fragrantica.com/perfume/Glossier/You-46885.html
Fahrenheit,Dior,https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html
Babycat,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Babycat-73149.html
Wanted by Night,Azzaro,https://www.fragrantica.com/perfume/Azzaro/Wanted-by-Night-49144.html
Idôle,Lancôme,https://www.fragrantica.com/perfume/Lancome/Idole-55795.html
This is Her,Zadig & Voltaire,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Her-39358.html
Luna Rossa Black,Prada,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-Black-48682.html
Signature,Montblanc,https://www.fragrantica.com/perfume/Montblanc/Signature-60962.html
Soleil Blanc,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Soleil-Blanc-34893.html
La Nuit de L'Homme Bleu Électrique,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-L-Homme-Bleu-Electrique-67997.html
Musc Noir Rose For Her,Narciso Rodriguez,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Musc-Noir-Rose-For-Her-71596.html
Intense Cafe,Montale,https://www.fragrantica.com/perfume/Montale/Intense-Cafe-18021.html
Bright Crystal,Versace,https://www.fragrantica.com/perfume/Versace/Bright-Crystal-632.html
