Rank,Perfume Name,Perfume Brand,Link,Year,Perfumers,Rating,Votes,Main Accords,Top Notes,Middle Notes,Base Notes
11,Spicebomb Extreme,Viktor&Rolf,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html,,,,,,,,
12,Layton,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,2016,Dominique Ropion,4.46,"9,922","{'warm spicy': '100', 'vanilla': '87.1181', 'fresh spicy': '85.6034', 'woody': '84.2168', 'aromatic': '79.0131', 'fruity': '73.64', 'powdery': '68.8122', 'lavender': '61.2029', 'fresh': '58.2809', 'citrus': '54.9238'}","['Apple', 'Lavender', 'Lavender', 'Bergamot', 'Mandarin Orange', 'Geranium', 'Violet', 'Violet', 'Jasmine', 'Vanilla', 'Cardamom', 'Cardamom', 'Sandalwood', 'Pepper', 'Guaiac Wood', 'Patchouli']","['Geranium', 'Violet', 'Violet', 'Jasmine', 'Vanilla', 'Cardamom', 'Cardamom', 'Sandalwood', 'Pepper', 'Guaiac Wood', 'Patchouli']","['Vanilla', 'Cardamom', 'Cardamom', 'Sandalwood', 'Pepper', 'Guaiac Wood', 'Patchouli']"
13,Sauvage Elixir,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html,2021,Dominique Ropion,4.33,"9,287","{'warm spicy': '100', 'fresh spicy': '80.226', 'woody': '78.8206', 'aromatic': '77.3204', 'lavender': '75.6055', 'soft spicy': '68.0572', 'cinnamon': '61.3617', 'amber': '54.4134', 'powdery': '50.5999', 'balsamic': '48.318'}","['Nutmeg', 'Cinnamon', 'Cinnamon', 'Cardamom', 'Grapefruit', 'Lavender', 'Licorice', 'Sandalwood', 'Sandalwood', 'Amber', 'Patchouli', 'Haitian Vetiver']","['Lavender', 'Licorice', 'Sandalwood', 'Sandalwood', 'Amber', 'Patchouli', 'Haitian Vetiver']","['Licorice', 'Sandalwood', 'Sandalwood', 'Amber', 'Patchouli', 'Haitian Vetiver']"
14,Black Opium,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-25324.html,2014,Dominique Ropion,3.93,"23,981","{'vanilla': '100', 'coffee': '86.9654', 'sweet': '80.8575', 'warm spicy': '74.4136', 'white floral': '72.9699', 'soft spicy': '63.163', 'woody': '61.9546', 'fruity': '60.9875', 'powdery': '53.1319', 'balsamic': '52.8707'}","['Pear', 'Pink Pepper', 'Pink Pepper', 'Orange Blossom', 'Coffee', 'Jasmine', 'Jasmine', 'Bitter Almond', 'Licorice', 'Vanilla', 'Patchouli', 'Patchouli', 'Cashmere Wood', 'Cedar']","['Coffee', 'Jasmine', 'Jasmine', 'Bitter Almond', 'Licorice', 'Vanilla', 'Patchouli', 'Patchouli', 'Cashmere Wood', 'Cedar']","['Vanilla', 'Patchouli', 'Patchouli', 'Cashmere Wood', 'Cedar']"
15,Club de Nuit Intense Man,Armaf,https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-34696.html,2015,Dominique Ropion,4.19,"14,759","{'citrus': '100', 'fruity': '74.5243', 'leather': '65.489', 'smoky': '58.3912', 'woody': '56.4177', 'aromatic': '53.9083', 'sweet': '52.9596', 'fresh': '52.4011', 'musky': '45.7002'}","['Lemon', 'Pineapple', 'Pineapple', 'Bergamot', 'Black Currant', 'Apple', 'Birch', 'Jasmine', 'Jasmine', 'Rose', 'Musk', 'Ambergris', 'Ambergris', 'Patchouli', 'Vanilla']","['Birch', 'Jasmine', 'Jasmine', 'Rose', 'Musk', 'Ambergris', 'Ambergris', 'Patchouli', 'Vanilla']","['Musk', 'Ambergris', 'Ambergris', 'Patchouli', 'Vanilla']"
16,Bleu de Chanel Eau de Parfum,Chanel,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,2014,Dominique Ropion,4.41,"11,896","{'citrus': '100', 'amber': '95.1128', 'woody': '84.3277', 'warm spicy': '68.1365', 'aromatic': '66.661', 'fresh spicy': '58.4039', 'smoky': '52.6247', 'balsamic': '51.0346', 'fresh': '47.0311', 'green': '45.9328'}","['Grapefruit', 'Lemon', 'Lemon', 'Mint', 'Pink Pepper', 'Bergamot', 'Aldehydes', 'Coriander', 'Ginger', 'Nutmeg', 'Nutmeg', 'Jasmine', 'Melon', 'Incense', 'Amber', 'Amber', 'Cedar', 'Sandalwood', 'Patchouli', 'Amberwood', 'Labdanum']","['Ginger', 'Nutmeg', 'Nutmeg', 'Jasmine', 'Melon', 'Incense', 'Amber', 'Amber', 'Cedar', 'Sandalwood', 'Patchouli', 'Amberwood', 'Labdanum']","['Incense', 'Amber', 'Amber', 'Cedar', 'Sandalwood', 'Patchouli', 'Amberwood', 'Labdanum']"
17,Eros,Versace,https://www.fragrantica.com/perfume/Versace/Eros-16657.html,2012,Dominique Ropion,4.08,"18,247","{'vanilla': '100', 'aromatic': '90.7078', 'green': '86.5027', 'fresh spicy': '64.672', 'amber': '61.9364', 'fruity': '53.6796', 'citrus': '52.4779', 'sweet': '52.3232', 'woody': '50.7326', 'fresh': '49.2953'}","['Mint', 'Green Apple', 'Green Apple', 'Lemon', 'Tonka Bean', 'Ambroxan', 'Ambroxan', 'Geranium', 'Madagascar Vanilla', 'Virginian Cedar', 'Virginian Cedar', 'Atlas Cedar', 'Vetiver', 'Oakmoss']","['Tonka Bean', 'Ambroxan', 'Ambroxan', 'Geranium', 'Madagascar Vanilla', 'Virginian Cedar', 'Virginian Cedar', 'Atlas Cedar', 'Vetiver', 'Oakmoss']","['Madagascar Vanilla', 'Virginian Cedar', 'Virginian Cedar', 'Atlas Cedar', 'Vetiver', 'Oakmoss']"
18,Jazz Club,Maison Martin Margiela,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Jazz-Club-20541.html,2013,Dominique Ropion,4.20,"10,117","{'tobacco': '100', 'sweet': '89.2376', 'rum': '86.3323', 'vanilla': '84.973', 'woody': '72.3088', 'aromatic': '66.3234', 'soft spicy': '63.3274', 'amber': '52.918', 'powdery': '46.4919', 'warm spicy': '46.3749'}","['Pink Pepper', 'Neroli', 'Neroli', 'Lemon', 'Rum', 'Java vetiver oil', 'Java vetiver oil', 'Clary Sage', 'Tobacco Leaf', 'Vanilla Bean', 'Vanilla Bean', 'Styrax']","['Rum', 'Java vetiver oil', 'Java vetiver oil', 'Clary Sage', 'Tobacco Leaf', 'Vanilla Bean', 'Vanilla Bean', 'Styrax']","['Tobacco Leaf', 'Vanilla Bean', 'Vanilla Bean', 'Styrax']"
19,Versace Pour Homme Dylan Blue,Versace,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-Dylan-Blue-40031.html,2016,Dominique Ropion,4.14,"13,538","{'amber': '100', 'citrus': '90.0852', 'fresh spicy': '72.3918', 'musky': '70.0699', 'aquatic': '67.6051', 'warm spicy': '63.2407', 'woody': '53.9394', 'fresh': '51.2156', 'aromatic': '50.6119', 'smoky': '49.6331'}","['Calabrian bergamot', 'Water Notes', 'Water Notes', 'Grapefruit', 'Fig Leaf', 'Ambroxan', 'Black Pepper', 'Black Pepper', 'Patchouli', 'Violet Leaf', 'Papyrus', 'Incense', 'Musk', 'Musk', 'Tonka Bean', 'Saffron']","['Ambroxan', 'Black Pepper', 'Black Pepper', 'Patchouli', 'Violet Leaf', 'Papyrus', 'Incense', 'Musk', 'Musk', 'Tonka Bean', 'Saffron']","['Incense', 'Musk', 'Musk', 'Tonka Bean', 'Saffron']"
20,Aventus,Creed,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,,,,,,,,
